"CID","Pincode","CityName/AreaName","State","Latitude","Longitude"
"38","110039","Bawana","New Delhi","28.797887802124023","77.042106628417970"
"39","110040","Sanoth","New Delhi","28.849916458129883","77.090499877929690"
"40","110041","Nagloi","New Delhi","28.666767120361328","77.050781250000000"
"41","110042","Badli","New Delhi","28.756437301635742","77.131050109863280"
"42","110043","Najafgarh","New Delhi","28.582927703857422","76.969413757324220"
"43","110044","Badarpur T P Station","New Delhi","28.514400482177734","77.298179626464840"
"44","110045","Palam Enclave","New Delhi","28.592203140258790","77.083122253417970"
"45","110046","Nangal Rava","New Delhi","28.606943130493164","77.101585388183600"
"46","110047","Arjan Garh","New Delhi","28.466428756713867","77.135688781738280"
"47","110048","Kailash","New Delhi","28.543045043945312","77.240341186523440"
"48","110049","Andrews Ganj","New Delhi","28.559568405151367","77.222618103027340"
"49","110051","Azad Nagar","New Delhi","28.653165817260742","77.286949157714840"
"50","110052","Wazirpur Phase Iii","New Delhi","28.683588027954100","77.175292968750000"
"51","110053","Zafrabad","New Delhi","28.691913604736328","77.279823303222660"
"52","110054","Civil Lines","New Delhi","28.684093475341797","77.221687316894530"
"53","110055","Paharganj","New Delhi","28.643499374389650","77.212387084960940"
"54","110056","Shakurbasti","New Delhi","28.680028915405273","77.106697082519530"
"55","110057","Munirka","New Delhi","28.566701889038086","77.160995483398440"
"56","110058","Janakpuri","New Delhi","28.618797302246094","77.086387634277340"
"57","110059","Uttam Nagar","New Delhi","28.622484207153320","77.051811218261720"
"58","110060","New Rajinder Nagar","New Delhi","28.638717651367188","77.185150146484380"
"59","110061","Bijwasan","New Delhi","28.546951293945312","77.051422119140620"
"60","110062","Hamdard Nagar","New Delhi","28.512968063354492","77.237236022949220"
"61","110063","Paschim Vihar","New Delhi","28.671194076538086","77.106597900390620"
"62","110064","Hari Nagar Be Block","New Delhi","28.625728607177734","77.114448547363280"
"63","110065","East Of Kailash","New Delhi","28.574003219604492","77.243263244628900"
"64","110066","R K Puram","New Delhi","28.557998657226562","77.182266235351560"
"65","110067","D D A Munirka","New Delhi","28.526741027832030","77.168411254882810"
"66","110070","Vasant Kunj","New Delhi","28.520442962646484","77.162200927734380"
"67","110071","Chhawla","New Delhi","28.553215026855470","77.002174377441400"
"68","110072","Jharoda Kalan","New Delhi","28.651096343994140","76.946594238281250"
"69","110073","Ujwa","New Delhi","28.564739227294922","76.889465332031250"
"70","110081","Kanjhawala","New Delhi","28.718727111816406","77.006759643554690"
"71","110082","Khera Kalan","New Delhi","28.791610717773438","77.102317810058600"
"72","110083","Mangolpuri Block A","New Delhi","28.692466735839844","77.088096618652340"
"73","110084","Kutubgarh","New Delhi","28.737648010253906","77.204498291015620"
"74","110088","Shalimar Bagh","New Delhi","28.708805084228516","77.164482116699220"
"75","110091","Himmatpuri","New Delhi","28.599155426025390","77.297653198242190"
"76","110092","Shakarpur","New Delhi","28.630844116210938","77.305946350097660"
"77","110093","Nand Nagri A Block","New Delhi","28.696073532104492","77.302452087402340"
"78","110094","Gokulpuri","New Delhi","28.716203689575195","77.272666931152340"
"79","110096","Bhajan Pura","New Delhi","28.608095169067383","77.330360412597660"
"80","121001","Faridabad","Uttar Pradesh","28.394189834594727","77.302810668945310"
"81","121002","Faridabad","Uttar Pradesh","28.415773391723633","77.324676513671880"
"82","121005","Faridabad Sector 22","Uttar Pradesh","28.364116668701172","77.295417785644530"
"83","121006","Industrial Estate","Uttar Pradesh","28.372198104858400","77.325531005859380"
"84","121007","Faridabad","Uttar Pradesh","28.390520095825195","77.323097229003900"
"85","121101","Tigaon","Uttar Pradesh","28.349430084228516","77.388282775878900"
"86","121102","Palwal","Uttar Pradesh","28.141222000122070","77.332885742187500"
"87","122001","Gurgaon Kutchery","Haryana","28.429439544677734","77.042953491210940"
"88","122005","Air Force Gurgaon","Haryana","28.324806213378906","76.782890319824220"
"89","122015","Gurgaon Palampur Road","Haryana","28.300485610961914","76.982810974121100"
"90","122016","Dundahera","Haryana","28.508653640747070","77.073722839355470"
"91","122050","Manesar","Haryana","28.359123229980470","76.936271667480470"
"92","122101","Badshahpur","Haryana","28.410398483276367","77.049560546875000"
"93","122103","Sohna(Gurgaon)","Haryana","28.192392349243164","77.041656494140620"
"94","122104","Ferozepur Jhirka","Haryana","27.788209915161133","76.946998596191400"
"95","122105","Taura","Haryana","28.256910324096680","76.932632446289060"
"96","122107","Nuh","Haryana","28.066617965698242","77.028945922851560"
"97","122108","Nagina","Haryana","27.909519195556640","77.012214660644530"
"98","123001","Narnaul Kutchery","Haryana","28.095479965209960","76.147468566894530"
"99","123021","Mandi Ateli","Haryana","28.100133895874023","76.235023498535160"
"100","123023","Nangal Chaudhary","Haryana","27.857191085815430","76.087509155273440"
"101","123024","Satnali","Haryana","28.371923446655273","75.969573974609380"
"102","123027","Kanina","Haryana","28.353094100952150","76.280708312988280"
"103","123029","Mohindergarh","Haryana","28.269332885742188","76.146812438964840"
"104","123301","Guriani","Haryana","28.360031127929688","76.533973693847660"
"105","123306","Charkhi Dadri Factory","Haryana","28.591993331909180","76.271980285644530"
"106","123308","Badhra","Haryana","28.513435363769530","75.946174621582030"
"107","123401","Model Town Rewari","Haryana","28.150218963623047","76.679054260253900"
"108","123411","Dahina","Uttar Pradesh","28.297712326049805","76.401298522949220"
"109","123412","Dharan","Haryana","28.082607269287110","76.489067077636720"
"110","123501","Bawal","Haryana","28.082929611206055","76.579559326171880"
"111","123502","Khalilpur","Haryana","28.243207931518555","76.692871093750000"
